"NOTE: text_to_read here is the QUESTION to read aloud to the speaker. The speaker does not read anything -- they listen to the question and answer freely. Record their answer, not the question.",,,,,,
file_name,set,item_id_or_act_id,text_to_read,done,usable,notes
yo-en_setB_SPEAKER_setB-01.wav,setB,setB-01,Sọ fún mi nípa ilé-ìwé rẹ.,,,
yo-en_setB_SPEAKER_setB-02.wav,setB,setB-02,Kí ni o ṣe lánàá lẹ́yìn ilé-ìwé?,,,
yo-en_setB_SPEAKER_setB-03.wav,setB,setB-03,Báwo ni o ṣe ń lọ sí ọjà láti ilé?,,,
yo-en_setB_SPEAKER_setB-04.wav,setB,setB-04,"Ẹ̀kọ́ wo ni o fẹ́ràn jùlọ, kí ló sì dé?",,,
yo-en_setB_SPEAKER_setB-05.wav,setB,setB-05,Sọ fún mi nípa àkókò kan tí o ràn ẹnìkan lọ́wọ́.,,,
yo-en_setB_SPEAKER_setB-06.wav,setB,setB-06,Ka ní ohùn sókè láti ọ̀kan dé ogún.,,,
yo-en_setB_SPEAKER_setB-07.wav,setB,setB-07,Mélòó ni mẹ́ẹ̀ẹ́dógún kún èje? Sọ fún mi bí o ṣe rí ìdáhùn náà.,,,
yo-en_setB_SPEAKER_setB-08.wav,setB,setB-08,Sọ fún mi ohun kan tó ṣẹlẹ̀ ní ilé-ìwé ní ọ̀sẹ̀ yìí.,,,
yo-en_setB_SPEAKER_setB-09.wav,setB,setB-09,Kí ni o fẹ́ ṣe nígbà tí o bá dàgbà?,,,
yo-en_setB_SPEAKER_setB-10.wav,setB,setB-10,"Ṣàlàyé eré kan tí o ń ṣeré pẹ̀lú àwọn ọ̀rẹ́ rẹ, àti òfin rẹ̀.",,,
