item_id,tarl_level,item_type,text,difficulty_rank,selection_rationale,source,reviewed_by,review_status,notes
sw-ls-001,letter_syllable,syllable,ma,1,"Open CV syllable 'ma': the syllabic-nasal-adjacent consonant 'm' is extremely frequent in Swahili because it opens the singular noun-class-1 prefix (m-/mw-) and many common nouns (mtu, mama, moto). Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-002,letter_syllable,syllable,me,2,"Open CV syllable 'me': the syllabic-nasal-adjacent consonant 'm' is extremely frequent in Swahili because it opens the singular noun-class-1 prefix (m-/mw-) and many common nouns (mtu, mama, moto). Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-003,letter_syllable,syllable,mi,3,"Open CV syllable 'mi': the syllabic-nasal-adjacent consonant 'm' is extremely frequent in Swahili because it opens the singular noun-class-1 prefix (m-/mw-) and many common nouns (mtu, mama, moto). Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-004,letter_syllable,syllable,mo,4,"Open CV syllable 'mo': the syllabic-nasal-adjacent consonant 'm' is extremely frequent in Swahili because it opens the singular noun-class-1 prefix (m-/mw-) and many common nouns (mtu, mama, moto). Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-005,letter_syllable,syllable,mu,5,"Open CV syllable 'mu': the syllabic-nasal-adjacent consonant 'm' is extremely frequent in Swahili because it opens the singular noun-class-1 prefix (m-/mw-) and many common nouns (mtu, mama, moto). Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-006,letter_syllable,syllable,na,6,"Open CV syllable 'na': 'n' is extremely frequent as the class-9/10 noun prefix (n-/ny-) and appears in many everyday words (nyumba, ndizi, nguo). Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-007,letter_syllable,syllable,ne,7,"Open CV syllable 'ne': 'n' is extremely frequent as the class-9/10 noun prefix (n-/ny-) and appears in many everyday words (nyumba, ndizi, nguo). Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-008,letter_syllable,syllable,ni,8,"Open CV syllable 'ni': 'n' is extremely frequent as the class-9/10 noun prefix (n-/ny-) and appears in many everyday words (nyumba, ndizi, nguo). Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-009,letter_syllable,syllable,no,9,"Open CV syllable 'no': 'n' is extremely frequent as the class-9/10 noun prefix (n-/ny-) and appears in many everyday words (nyumba, ndizi, nguo). Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
sw-ls-010,letter_syllable,syllable,nu,10,"Open CV syllable 'nu': 'n' is extremely frequent as the class-9/10 noun prefix (n-/ny-) and appears in many everyday words (nyumba, ndizi, nguo). Presented as a full consonant-vowel unit (not an isolated letter) because Swahili primers teach syllable sets like ba/be/bi/bo/bu, not isolated consonants -- see docs/INSTRUMENT-SPEC.md.","Author-created; syllable-vs-letter methodology informed by EGRA Toolkit 2nd ed. (RTI/USAID, CC BY 4.0) Section 6.2.2 and the Kiswahili 'ka/ke/ki/ko/ku' example in Gove & Wetterberg (eds.), EGRA: Applications and Interventions (RTI Press, 2011) -- see docs/SOURCES.md.",Two Swahili speakers (Tanzania and Congo),approved,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Standard Kiswahili verified by two Swahili speakers from Tanzania and Congo."
