prompt_id,language,text,text_status,notes,source_file
setB-01,en,Tell me about your school.,source_reference,,data/recordings/prompts-setB.csv
setB-01,sw,Niambie kuhusu shule yako.,draft-needs-review,,data/recordings/prompts-setB.csv
setB-01,yo,Sọ fún mi nípa ilé-ìwé rẹ.,draft-needs-review,,data/recordings/prompts-setB.csv
setB-02,en,What did you do yesterday after school?,source_reference,,data/recordings/prompts-setB.csv
setB-02,sw,Ulifanya nini jana baada ya shule?,draft-needs-review,,data/recordings/prompts-setB.csv
setB-02,yo,Kí ni o ṣe lánàá lẹ́yìn ilé-ìwé?,draft-needs-review,,data/recordings/prompts-setB.csv
setB-03,en,How do you get from your home to the market?,source_reference,,data/recordings/prompts-setB.csv
setB-03,sw,Unafikaje sokoni ukitoka nyumbani kwenu?,draft-needs-review,,data/recordings/prompts-setB.csv
setB-03,yo,Báwo ni o ṣe ń lọ sí ọjà láti ilé?,draft-needs-review,,data/recordings/prompts-setB.csv
setB-04,en,"What is your favourite subject, and why?",source_reference,,data/recordings/prompts-setB.csv
setB-04,sw,"Somo gani unalipenda zaidi, na kwa nini?",draft-needs-review,,data/recordings/prompts-setB.csv
setB-04,yo,"Ẹ̀kọ́ wo ni o fẹ́ràn jùlọ, kí ló sì dé?",draft-needs-review,,data/recordings/prompts-setB.csv
setB-05,en,Tell me about a time you helped someone.,source_reference,,data/recordings/prompts-setB.csv
setB-05,sw,Niambie wakati ulipomsaidia mtu.,draft-needs-review,,data/recordings/prompts-setB.csv
setB-05,yo,Sọ fún mi nípa àkókò kan tí o ran ẹnìkan lọ́wọ́.,draft-needs-review,,data/recordings/prompts-setB.csv
setB-06,en,Count out loud from one to twenty.,source_reference,"Numbers are the strongest code-switch trigger in the classroom register -- which number form a speaker reaches for is an empirical result we want, not something to prompt for. Number register: prompt_sw uses standard Swahili number words (moja...ishirini); prompt_yo uses standard Yoruba number words (ọ̀kan...ogún). Neither uses digits or English, so the question itself doesn't prime an English or digit response.",data/recordings/prompts-setB.csv
