prompt_id,prompt_en,prompt_sw,prompt_yo,notes,translation_status
setB-01,Tell me about your school.,Niambie kuhusu shule yako.,Sọ fún mi nípa ilé-ìwé rẹ.,,approved
setB-02,What did you do yesterday after school?,Ulifanya nini jana baada ya shule?,Kí ni o ṣe lánàá lẹ́yìn ilé-ìwé?,,approved
setB-03,How do you get from your home to the market?,Unafikaje sokoni ukitoka nyumbani kwenu?,Báwo ni o ṣe ń lọ sí ọjà láti ilé?,,approved
setB-04,"What is your favourite subject, and why?","Somo gani unalipenda zaidi, na kwa nini?","Ẹ̀kọ́ wo ni o fẹ́ràn jùlọ, kí ló sì dé?",,approved
setB-05,Tell me about a time you helped someone.,Niambie wakati ulipomsaidia mtu.,Sọ fún mi nípa àkókò kan tí o ran ẹnìkan lọ́wọ́.,,approved
setB-06,Count out loud from one to twenty.,Hesabu kwa sauti kuanzia moja hadi ishirini.,Kàá ní ohùn sókè láti ọ̀kan dé ogún.,"Numbers are the strongest code-switch trigger in the classroom register -- which number form a speaker reaches for is an empirical result we want, not something to prompt for. Number register: prompt_sw uses standard Swahili number words (moja...ishirini); prompt_yo uses standard Yoruba number words (ọ̀kan...ogún). Neither uses digits or English, so the question itself doesn't prime an English or digit response.",approved
setB-07,What is 15 plus 7? Tell me how you worked it out.,Kumi na tano jumlisha saba ni ngapi? Niambie jinsi ulivyopata jibu lako.,Mélòó ni mẹ́ẹ̀ẹ́dógún kún èje? Sọ fún mi bí o ṣe rí ìdáhùn náà.,"Same reason as prompt 6 -- arithmetic answers are where code-switching to English numbers is most likely to happen spontaneously, and that switch pattern is exactly what this set exists to capture. Number register: prompt_sw uses standard Swahili number words (kumi na tano, saba); prompt_yo uses standard Yoruba number words (mẹ́ẹ̀ẹ́dógún 'fifteen', èje 'seven'). Yoruba's numeral system is genuinely complex (base-20, subtractive forms for many numbers) -- flag this row for extra-careful native-speaker check, higher uncertainty here than the other rows.",approved
setB-08,Tell me something that happened at school this week.,Niambie jambo lililotokea shuleni wiki hii.,Sọ fún mi ohun kan tó ṣẹlẹ̀ ní ilé-ìwé ní ọ̀sẹ̀ yìí.,,approved
setB-09,What do you want to do when you grow up?,Unataka kuwa nini ukikua?,Kí ni o fẹ́ ṣe nígbà tí o bá dàgbà?,,approved
setB-10,"Explain a game you play with friends, and its rules.","Nieleze mchezo unaocheza na marafiki zako, na kanuni zake.","Ṣàlàyé eré kan tí o ń ṣeré pẹ̀lú àwọn ọ̀rẹ́ rẹ, àti òfin rẹ̀.",,approved
