act_id,category,tarl_level,audience,function_reminder,max_words,text_draft,matrix_language,switch_points,register_note,verdict,corrected_text
instr-start-beginner-001,instruction,beginner,child,Ask the child to look at the letter shown and say its sound.,12,"Wo lẹ́tà yìí, kí ni ohùn rẹ̀? Sọ fún mi!",Yoruba,"Wo lẹ́tà yìí, kí ni ohùn rẹ̀? Sọ fún mi!","Warm and inviting, like a gentle nudge from a favourite teacher — short sentences with a playful lift at the end to encourage the child to speak up without anxiety.",,
instr-start-letter-syllable-001,instruction,letter_syllable,child,Ask the child to read the syllable shown aloud.,10,Ṣe àyẹwò! Jọwọ ka syllable tó wà níbẹ̀ fún mi.,Yoruba,Ṣe àyẹwò! Jọwọ ka [[syllable]] tó wà níbẹ̀ fún mi.,"Keep the tone bright and inviting, like a gentle nudge from a friendly teacher — not a test command.",,
instr-start-word-001,instruction,word,child,Ask the child to read the word shown aloud.,10,"Ẹ wò ọ̀rọ̀ yìí, kí o sì ka á sókè.",Yoruba,"Ẹ wò ọ̀rọ̀ yìí, kí o sì [[ka á sókè]].","Keep the tone gentle and inviting, like a friendly nudge from a teacher, not a command — the child should feel safe to try.",,
instr-start-paragraph-001,instruction,paragraph,child,"Ask the child to read the paragraph aloud, at their own pace.",12,"Dára, jẹ́ ká bẹ̀rẹ̀. Jọwọ, read àdoédoé yìí fún mi.",Yoruba,"Dára, jẹ́ ká bẹ̀rẹ̀. Jọwọ, [[read]] àdoédoé yìí fún mi.","Warm and inviting, using ""jọwọ"" to keep tone gentle and non-pressuring, as if a friendly teacher is simply opening a new page together with the child.",,
instr-start-story-001,instruction,story,child,Ask the child to read the story aloud from the beginning.,12,"Jẹ́ ká bẹ̀rẹ̀! Jọ̀wọ́, ka ìtàn yìí káàárọ̀ látọ̀dọ̀ ìbẹ̀rẹ̀.",Yoruba,"[[Jẹ́ ká bẹ̀rẹ̀!]] Jọ̀wọ́, ka ìtàn yìí káàárọ̀ látọ̀dọ̀ ìbẹ̀rẹ̀.","Warm and enthusiastic to spark excitement at the start of a new story, using a gentle invitation rather than a command.",,
instr-comprehension-001,instruction,story,child,Ask a simple comprehension question about the story just read.,14,Dára! Ǹjẹ́ o lè sọ fún mi kíní ìtàn yẹn túmọ̀ sí?,Yoruba,[[Dára!]] Ǹjẹ́ o lè sọ fún mi kíní ìtàn yẹn túmọ̀ sí?,"Warm and inviting, using brief English praise before slipping into Yoruba to keep the child comfortable and motivated after finishing a story.",,
instr-retry-001,instruction,any,child,Ask the child to try reading the same item one more time.,10,"Dára, jẹ́ ká gbìyànjú mọ́ lẹ́ẹ̀kan sí i, try again!",Yoruba,"Dára, jẹ́ ká gbìyànjú mọ́ lẹ́ẹ̀kan sí i, [[try again]]!","Keep the tone upbeat and encouraging — treat the retry as a fun new chance, not a correction, so the child feels safe to attempt again.",,
instr-slow-down-001,instruction,any,child,Ask the child to slow down and read at a calmer pace.,10,"Dáadáa, slow down kí o sì ka fẹ́ẹ́fẹ́ẹ́ díẹ̀.",Yoruba,"Dáadáa, [[slow down]] kí o sì ka fẹ́ẹ́fẹ́ẹ́ díẹ̀.","Warm and gently redirecting — like a patient teacher placing a calming hand on the child's shoulder, not scolding.",,
instr-mic-check-001,instruction,any,child,Ask the child to hold the phone closer and speak clearly.,12,"Jọ̀wọ́, mú fóònù wá sún mọ́ ẹnu rẹ kí o sọ̀rọ̀ speak clearly!",Yoruba,"Jọ̀wọ́, mú fóònù wá sún mọ́ ẹnu rẹ kí o sọ̀rọ̀ [[speak clearly]]!","Use a gentle, encouraging tone — not scolding — so the child feels safe to try again without embarrassment.",,
instr-ready-check-001,instruction,any,child,Check that the child is ready before starting the next item.,8,Ṣé o ṣetán? Jẹ́ ká bẹ̀rẹ̀ — ready?,Yoruba,Ṣé o ṣetán? Jẹ́ ká bẹ̀rẹ̀ — [[ready]]?,"Bright and gently inviting — no pressure, just a friendly nudge to signal a fresh start.",,
instr-free-response-001,instruction,any,child,Ask the child what they think happens next in the story.,12,Ṣe o rò pé kí ni yóò ṣẹlẹ̀ tó bá tẹ̀lé? Sọ fún mi!,Yoruba,Ṣe o rò pé kí ni yóò ṣẹlẹ̀ tó bá tẹ̀lé? Sọ fún mi!,"Keep the tone curious and inviting, like a friend eagerly leaning in to hear the child's idea — no pressure, just excitement.",,
