recording_id,speaker_id,language,content_type,content_id,reference_transcript,file_path,duration_seconds,device,noise_condition,date_recorded,consent_confirmed,consent_date,notes
EXAMPLE-rec-0001,EXAMPLE-spk-001,sw,instrument_item,EXAMPLE-sw-w-001,"<a 2-syllable everyday word a 6-year-old already knows, e.g. a household object or family word>",recordings/audio/EXAMPLE-rec-0001.wav,2.4,"Android -- Tecno Spark, budget tier",quiet,2026-08-01,yes,2026-08-01,EXAMPLE-DELETE-ME -- recorded in a quiet room with no background noise; this is what 'quiet' means in noise_condition.
EXAMPLE-rec-0002,EXAMPLE-spk-002,yo,instrument_item,EXAMPLE-yo-p-001,"<a 3-sentence paragraph in simple past tense, set in a familiar home or school scene, with no unfamiliar vocabulary>",recordings/audio/EXAMPLE-rec-0002.wav,9.1,iPhone SE,noisy,2026-08-02,yes,2026-08-02,EXAMPLE-DELETE-ME -- recorded in a busy classroom with audible background chatter; this is what 'noisy' means in noise_condition.
v0-sw-0001,spk-sw-001,sw,syllable,sw-ls-001,ma,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-001.wav,1.921,Google Pixel 6 (Android 17),quiet,,yes,2026-08-15,Audio and segmentation QA confirmed for development V0.
v0-sw-0002,spk-sw-001,sw,syllable,sw-ls-002,me,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-002.wav,1.518,Google Pixel 6 (Android 17),quiet,,yes,2026-08-15,Audio and segmentation QA confirmed for development V0.
v0-sw-0003,spk-sw-001,sw,syllable,sw-ls-003,mi,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-003.wav,1.429,Google Pixel 6 (Android 17),quiet,,yes,2026-08-15,Audio and segmentation QA confirmed for development V0.
v0-sw-0004,spk-sw-001,sw,syllable,sw-ls-004,mo,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-004.wav,1.416,Google Pixel 6 (Android 17),quiet,,yes,2026-08-15,Audio and segmentation QA confirmed for development V0.
v0-sw-0005,spk-sw-001,sw,syllable,sw-ls-005,mu,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-005.wav,1.423,Google Pixel 6 (Android 17),quiet,,yes,2026-08-15,Audio and segmentation QA confirmed for development V0.
v0-sw-0006,spk-sw-001,sw,syllable,sw-ls-006,na,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-006.wav,1.321,Google Pixel 6 (Android 17),quiet,,yes,2026-08-15,Audio and segmentation QA confirmed for development V0.
v0-sw-0007,spk-sw-001,sw,syllable,sw-ls-007,ne,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-007.wav,1.629,Google Pixel 6 (Android 17),quiet,,yes,2026-08-15,Audio and segmentation QA confirmed for development V0.
v0-sw-0008,spk-sw-001,sw,syllable,sw-ls-008,ni,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-008.wav,1.462,Google Pixel 6 (Android 17),quiet,,yes,2026-08-15,Audio and segmentation QA confirmed for development V0.
