file_name,set,item_id_or_act_id,item_type,story_id,difficulty_rank,text_to_read,speaker_type,done,usable,notes
,setA,,=== SECTION ===,,,ASSESSOR INSTRUCTION: SYLLABLES/LETTERS — point to each one and ask the speaker to read it aloud. Pause between each. Do not correct them.,,,,
yo-en_setA_SPEAKER_yo-ls-001.wav,setA,yo-ls-001,syllable,,1,ba,all,,,
yo-en_setA_SPEAKER_yo-ls-002.wav,setA,yo-ls-002,syllable,,2,be,all,,,
yo-en_setA_SPEAKER_yo-ls-003.wav,setA,yo-ls-003,syllable,,3,bẹ,all,,,
yo-en_setA_SPEAKER_yo-ls-004.wav,setA,yo-ls-004,syllable,,4,bi,all,,,
yo-en_setA_SPEAKER_yo-ls-005.wav,setA,yo-ls-005,syllable,,5,bo,all,,,
yo-en_setA_SPEAKER_yo-ls-006.wav,setA,yo-ls-006,syllable,,6,bọ,all,,,
yo-en_setA_SPEAKER_yo-ls-007.wav,setA,yo-ls-007,syllable,,7,bu,all,,,
yo-en_setA_SPEAKER_yo-ls-008.wav,setA,yo-ls-008,syllable,,8,ma,all,,,
yo-en_setA_SPEAKER_yo-ls-009.wav,setA,yo-ls-009,syllable,,9,me,all,,,
yo-en_setA_SPEAKER_yo-ls-010.wav,setA,yo-ls-010,syllable,,10,mẹ,all,,,
yo-en_setA_SPEAKER_yo-ls-011.wav,setA,yo-ls-011,syllable,,11,mi,all,,,
yo-en_setA_SPEAKER_yo-ls-012.wav,setA,yo-ls-012,syllable,,12,mo,all,,,
yo-en_setA_SPEAKER_yo-ls-013.wav,setA,yo-ls-013,syllable,,13,mọ,all,,,
yo-en_setA_SPEAKER_yo-ls-014.wav,setA,yo-ls-014,syllable,,14,mu,all,,,
yo-en_setA_SPEAKER_yo-ls-015.wav,setA,yo-ls-015,syllable,,15,na,all,,,
yo-en_setA_SPEAKER_yo-ls-016.wav,setA,yo-ls-016,syllable,,16,ne,all,,,
yo-en_setA_SPEAKER_yo-ls-017.wav,setA,yo-ls-017,syllable,,17,nẹ,all,,,
yo-en_setA_SPEAKER_yo-ls-018.wav,setA,yo-ls-018,syllable,,18,ni,all,,,
yo-en_setA_SPEAKER_yo-ls-019.wav,setA,yo-ls-019,syllable,,19,no,all,,,
yo-en_setA_SPEAKER_yo-ls-020.wav,setA,yo-ls-020,syllable,,20,nọ,all,,,
yo-en_setA_SPEAKER_yo-ls-021.wav,setA,yo-ls-021,syllable,,21,nu,all,,,
yo-en_setA_SPEAKER_yo-ls-022.wav,setA,yo-ls-022,syllable,,22,la,all,,,
yo-en_setA_SPEAKER_yo-ls-023.wav,setA,yo-ls-023,syllable,,23,le,all,,,
yo-en_setA_SPEAKER_yo-ls-024.wav,setA,yo-ls-024,syllable,,24,lẹ,all,,,
yo-en_setA_SPEAKER_yo-ls-025.wav,setA,yo-ls-025,syllable,,25,li,all,,,
yo-en_setA_SPEAKER_yo-ls-026.wav,setA,yo-ls-026,syllable,,26,lo,all,,,
yo-en_setA_SPEAKER_yo-ls-027.wav,setA,yo-ls-027,syllable,,27,lọ,all,,,
yo-en_setA_SPEAKER_yo-ls-028.wav,setA,yo-ls-028,syllable,,28,lu,all,,,
yo-en_setA_SPEAKER_yo-ls-029.wav,setA,yo-ls-029,syllable,,29,ka,all,,,
yo-en_setA_SPEAKER_yo-ls-030.wav,setA,yo-ls-030,syllable,,30,ki,all,,,
