item_id,tarl_level,item_type,text,difficulty_rank,selection_rationale,source,reviewed_by,review_status,notes
yo-ls-001,letter_syllable,syllable,ba,1,"Open CV syllable 'ba': 'b' is one of the most frequent onset consonants in Yoruba, opening common words across registers (bàbá, ilé...bú, bọ). Presented as a full consonant-vowel unit, not an isolated letter, since CV syllables (not bare consonants) are the meaningful tone-bearing unit in Yoruba -- see docs/INSTRUMENT-SPEC.md. Shown here at mid tone (unmarked) as the citation form; tone-marked variants are a separate pedagogical step not covered by this bare-syllable set.",Author-created; syllable-vs-letter and tone reasoning in docs/INSTRUMENT-SPEC.md 'Yoruba tone: not optional'.,TBD,draft,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Needs native-speaker sign-off before use. Vowel inventory includes the subdot phonemes ẹ and ọ, which are distinct phonemes from e/o, not typos -- confirm rendering is correct in the final recording script/UI font."
yo-ls-002,letter_syllable,syllable,be,2,"Open CV syllable 'be': 'b' is one of the most frequent onset consonants in Yoruba, opening common words across registers (bàbá, ilé...bú, bọ). Presented as a full consonant-vowel unit, not an isolated letter, since CV syllables (not bare consonants) are the meaningful tone-bearing unit in Yoruba -- see docs/INSTRUMENT-SPEC.md. Shown here at mid tone (unmarked) as the citation form; tone-marked variants are a separate pedagogical step not covered by this bare-syllable set.",Author-created; syllable-vs-letter and tone reasoning in docs/INSTRUMENT-SPEC.md 'Yoruba tone: not optional'.,TBD,draft,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Needs native-speaker sign-off before use. Vowel inventory includes the subdot phonemes ẹ and ọ, which are distinct phonemes from e/o, not typos -- confirm rendering is correct in the final recording script/UI font."
yo-ls-003,letter_syllable,syllable,bẹ,3,"Open CV syllable 'bẹ': 'b' is one of the most frequent onset consonants in Yoruba, opening common words across registers (bàbá, ilé...bú, bọ). Presented as a full consonant-vowel unit, not an isolated letter, since CV syllables (not bare consonants) are the meaningful tone-bearing unit in Yoruba -- see docs/INSTRUMENT-SPEC.md. Shown here at mid tone (unmarked) as the citation form; tone-marked variants are a separate pedagogical step not covered by this bare-syllable set.",Author-created; syllable-vs-letter and tone reasoning in docs/INSTRUMENT-SPEC.md 'Yoruba tone: not optional'.,TBD,draft,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Needs native-speaker sign-off before use. Vowel inventory includes the subdot phonemes ẹ and ọ, which are distinct phonemes from e/o, not typos -- confirm rendering is correct in the final recording script/UI font."
yo-ls-004,letter_syllable,syllable,bi,4,"Open CV syllable 'bi': 'b' is one of the most frequent onset consonants in Yoruba, opening common words across registers (bàbá, ilé...bú, bọ). Presented as a full consonant-vowel unit, not an isolated letter, since CV syllables (not bare consonants) are the meaningful tone-bearing unit in Yoruba -- see docs/INSTRUMENT-SPEC.md. Shown here at mid tone (unmarked) as the citation form; tone-marked variants are a separate pedagogical step not covered by this bare-syllable set.",Author-created; syllable-vs-letter and tone reasoning in docs/INSTRUMENT-SPEC.md 'Yoruba tone: not optional'.,TBD,draft,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Needs native-speaker sign-off before use. Vowel inventory includes the subdot phonemes ẹ and ọ, which are distinct phonemes from e/o, not typos -- confirm rendering is correct in the final recording script/UI font."
yo-ls-005,letter_syllable,syllable,bo,5,"Open CV syllable 'bo': 'b' is one of the most frequent onset consonants in Yoruba, opening common words across registers (bàbá, ilé...bú, bọ). Presented as a full consonant-vowel unit, not an isolated letter, since CV syllables (not bare consonants) are the meaningful tone-bearing unit in Yoruba -- see docs/INSTRUMENT-SPEC.md. Shown here at mid tone (unmarked) as the citation form; tone-marked variants are a separate pedagogical step not covered by this bare-syllable set.",Author-created; syllable-vs-letter and tone reasoning in docs/INSTRUMENT-SPEC.md 'Yoruba tone: not optional'.,TBD,draft,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Needs native-speaker sign-off before use. Vowel inventory includes the subdot phonemes ẹ and ọ, which are distinct phonemes from e/o, not typos -- confirm rendering is correct in the final recording script/UI font."
yo-ls-006,letter_syllable,syllable,bọ,6,"Open CV syllable 'bọ': 'b' is one of the most frequent onset consonants in Yoruba, opening common words across registers (bàbá, ilé...bú, bọ). Presented as a full consonant-vowel unit, not an isolated letter, since CV syllables (not bare consonants) are the meaningful tone-bearing unit in Yoruba -- see docs/INSTRUMENT-SPEC.md. Shown here at mid tone (unmarked) as the citation form; tone-marked variants are a separate pedagogical step not covered by this bare-syllable set.",Author-created; syllable-vs-letter and tone reasoning in docs/INSTRUMENT-SPEC.md 'Yoruba tone: not optional'.,TBD,draft,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Needs native-speaker sign-off before use. Vowel inventory includes the subdot phonemes ẹ and ọ, which are distinct phonemes from e/o, not typos -- confirm rendering is correct in the final recording script/UI font."
yo-ls-007,letter_syllable,syllable,bu,7,"Open CV syllable 'bu': 'b' is one of the most frequent onset consonants in Yoruba, opening common words across registers (bàbá, ilé...bú, bọ). Presented as a full consonant-vowel unit, not an isolated letter, since CV syllables (not bare consonants) are the meaningful tone-bearing unit in Yoruba -- see docs/INSTRUMENT-SPEC.md. Shown here at mid tone (unmarked) as the citation form; tone-marked variants are a separate pedagogical step not covered by this bare-syllable set.",Author-created; syllable-vs-letter and tone reasoning in docs/INSTRUMENT-SPEC.md 'Yoruba tone: not optional'.,TBD,draft,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Needs native-speaker sign-off before use. Vowel inventory includes the subdot phonemes ẹ and ọ, which are distinct phonemes from e/o, not typos -- confirm rendering is correct in the final recording script/UI font."
yo-ls-008,letter_syllable,syllable,ma,8,"Open CV syllable 'ma': 'm' is extremely frequent, including as a syllabic nasal on its own and in everyday words (mi, mo, màmá). Presented as a full consonant-vowel unit, not an isolated letter, since CV syllables (not bare consonants) are the meaningful tone-bearing unit in Yoruba -- see docs/INSTRUMENT-SPEC.md. Shown here at mid tone (unmarked) as the citation form; tone-marked variants are a separate pedagogical step not covered by this bare-syllable set.",Author-created; syllable-vs-letter and tone reasoning in docs/INSTRUMENT-SPEC.md 'Yoruba tone: not optional'.,TBD,draft,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Needs native-speaker sign-off before use. Vowel inventory includes the subdot phonemes ẹ and ọ, which are distinct phonemes from e/o, not typos -- confirm rendering is correct in the final recording script/UI font."
yo-ls-009,letter_syllable,syllable,me,9,"Open CV syllable 'me': 'm' is extremely frequent, including as a syllabic nasal on its own and in everyday words (mi, mo, màmá). Presented as a full consonant-vowel unit, not an isolated letter, since CV syllables (not bare consonants) are the meaningful tone-bearing unit in Yoruba -- see docs/INSTRUMENT-SPEC.md. Shown here at mid tone (unmarked) as the citation form; tone-marked variants are a separate pedagogical step not covered by this bare-syllable set.",Author-created; syllable-vs-letter and tone reasoning in docs/INSTRUMENT-SPEC.md 'Yoruba tone: not optional'.,TBD,draft,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Needs native-speaker sign-off before use. Vowel inventory includes the subdot phonemes ẹ and ọ, which are distinct phonemes from e/o, not typos -- confirm rendering is correct in the final recording script/UI font."
yo-ls-010,letter_syllable,syllable,mẹ,10,"Open CV syllable 'mẹ': 'm' is extremely frequent, including as a syllabic nasal on its own and in everyday words (mi, mo, màmá). Presented as a full consonant-vowel unit, not an isolated letter, since CV syllables (not bare consonants) are the meaningful tone-bearing unit in Yoruba -- see docs/INSTRUMENT-SPEC.md. Shown here at mid tone (unmarked) as the citation form; tone-marked variants are a separate pedagogical step not covered by this bare-syllable set.",Author-created; syllable-vs-letter and tone reasoning in docs/INSTRUMENT-SPEC.md 'Yoruba tone: not optional'.,TBD,draft,"No corpus frequency analysis was run for this item -- see docs/SOURCES.md 'No primary frequency analysis was performed'. Selection rests on general knowledge of the language's common consonants/vocabulary, not a textbook frequency count. Needs native-speaker sign-off before use. Vowel inventory includes the subdot phonemes ẹ and ọ, which are distinct phonemes from e/o, not typos -- confirm rendering is correct in the final recording script/UI font."
