act_id,category,tarl_level,audience,function,trigger,max_words
instr-start-beginner-001,instruction,beginner,child,Ask the child to look at the letter shown and say its sound.,New beginner-level item is presented.,12
instr-start-letter-syllable-001,instruction,letter_syllable,child,Ask the child to read the syllable shown aloud.,New letter/syllable-level item is presented.,10
instr-start-word-001,instruction,word,child,Ask the child to read the word shown aloud.,New word-level item is presented.,10
instr-start-paragraph-001,instruction,paragraph,child,"Ask the child to read the paragraph aloud, at their own pace.",New paragraph-level item is presented.,12
instr-start-story-001,instruction,story,child,Ask the child to read the story aloud from the beginning.,New story-level item is presented.,12
instr-comprehension-001,instruction,story,child,Ask a simple comprehension question about the story just read.,Child finishes reading a story-level item.,14
instr-retry-001,instruction,any,child,Ask the child to try reading the same item one more time.,The item needs a second attempt for any reason.,10
instr-slow-down-001,instruction,any,child,Ask the child to slow down and read at a calmer pace.,Child is reading too fast and skipping words.,10
instr-mic-check-001,instruction,any,child,Ask the child to hold the phone closer and speak clearly.,Audio quality is too low to score reliably.,12
instr-ready-check-001,instruction,any,child,Check that the child is ready before starting the next item.,A new item is about to begin after a pause.,8
instr-free-response-001,instruction,any,child,Ask the child what they think happens next in the story.,Comprehension check after a story-level item.,12
instr-repeat-please-response-001,instruction,any,child,Repeat the instruction more slowly because the child asked.,"Child said ""repeat please"" or seemed confused.",12
instr-facilitator-wait-001,instruction,any,child,Tell the child to wait a moment while a facilitator is called.,The agent needs to hand off to a human facilitator.,10
instr-practice-drill-001,instruction,word,child,Ask the child to try a short practice drill before the real item.,Starting a level-appropriate practice drill.,12
praise-first-try-beginner-001,praise,beginner,child,Praise correct letter-sound on the first try.,Child says the correct sound immediately.,8
praise-first-try-syllable-001,praise,letter_syllable,child,Praise correct syllable read on the first try.,Child reads the syllable correctly immediately.,8
praise-first-try-word-001,praise,word,child,Praise correct word read on the first try.,Child reads the word correctly immediately.,8
praise-first-try-paragraph-001,praise,paragraph,child,Praise fluent reading of a full paragraph.,Child reads the paragraph correctly and fluently.,10
praise-first-try-story-001,praise,story,child,Praise finishing a story with strong fluency.,Child completes a story-level item fluently.,10
praise-after-retry-word-001,praise,word,child,Praise the child for succeeding after a retry.,Child gets a word-level item right on a second attempt.,10
praise-after-retry-syllable-001,praise,letter_syllable,child,Praise the child for succeeding after a retry at syllable level.,Child gets a syllable-level item right on a second attempt.,10
praise-comprehension-001,praise,story,child,Praise a thoughtful answer to a comprehension question.,Child gives a reasonable answer to a comprehension question.,10
praise-effort-general-001,praise,any,child,Praise visible effort even when the answer wasn't fully correct.,Child made a genuine attempt but the item wasn't fully correct.,10
praise-improvement-001,praise,any,child,Note that the child is improving compared to earlier in the session.,Child's accuracy has visibly improved over the session.,12
praise-confidence-001,praise,word,child,"Praise a confident, clear reading voice.",Child reads a word-level item clearly and without hesitation.,8
praise-self-correct-001,praise,any,child,Praise the child for catching and fixing their own mistake.,Child self-corrects a misread without being prompted.,10
praise-creative-answer-001,praise,story,child,Praise an imaginative answer to an open-ended story question.,"Child gives a creative, on-topic answer to a comprehension question.",12
praise-quiet-progress-001,praise,letter_syllable,child,Gently praise a shy or quiet child's small progress.,Child is soft-spoken but got a letter/syllable item correct.,10
hint-letter-sound-001,hint,beginner,child,Prompt the child to think of the sound the letter makes.,Child pauses more than 3 seconds on a beginner-level item.,10
hint-syllable-blend-001,hint,letter_syllable,child,Prompt the child to blend the two sounds in the syllable together.,Child hesitates blending a syllable.,12
hint-word-first-letter-001,hint,word,child,Prompt the child to look at the first letter of the word.,Child hesitates on a word-level item.,10
hint-word-familiar-001,hint,word,child,Suggest the word looks like one they already know.,Child struggles with a word similar to a previously mastered word.,12
hint-sentence-context-001,hint,paragraph,child,Suggest using the rest of the sentence as a clue for the tricky word.,Child struggles with one word inside a paragraph-level item.,14
hint-story-context-001,hint,story,child,Suggest thinking about what would make sense in the story so far.,Child struggles with a word inside a story-level item.,14
hint-comprehension-001,hint,story,child,Suggest thinking back to what happened earlier in the story.,Child struggles to answer a comprehension question.,12
hint-slow-sound-out-001,hint,letter_syllable,child,"Suggest sounding out the syllable slowly, one part at a time.",Child misreads a syllable-level item.,12
hint-look-again-001,hint,word,child,Suggest looking at the word again carefully before answering.,Child answers too quickly and gets a word-level item wrong.,10
hint-break-it-down-001,hint,paragraph,child,Suggest breaking the sentence into smaller chunks.,Child struggles with a long sentence in a paragraph-level item.,12
hint-picture-clue-001,hint,word,child,Suggest thinking of a picture that matches the word.,"Child struggles with a concrete, picturable word.",10
hint-try-whisper-001,hint,beginner,child,Suggest whispering the sound first before saying it aloud.,Child seems nervous about saying a beginner-level sound aloud.,10
correction-letter-soft-001,correction,beginner,child,"Gently correct a misread letter sound without saying ""wrong"".",Child misreads a beginner-level item.,10
correction-syllable-soft-001,correction,letter_syllable,child,Gently correct a misread syllable.,Child misreads a syllable-level item.,10
correction-word-soft-001,correction,word,child,Gently correct a misread word.,Child misreads a word-level item.,10
correction-sentence-soft-001,correction,paragraph,child,Gently correct a misread sentence within a paragraph.,Child misreads part of a paragraph-level item.,12
correction-model-pronunciation-001,correction,word,child,Model the correct pronunciation and ask the child to repeat it.,Child has misread the same word twice.,12
correction-comprehension-001,correction,story,child,Gently correct a misunderstanding without discouraging the child.,Child gives an answer that doesn't match the story.,12
