prompt,completion,enhanced_prompt,enhanced_completion,act_id,allowed_english_term,audience,category,code_switch_policy,country,curriculum_register,literacy_skill,literal_target,max_words,original_context,tarl_level
Prompt the child to look at the first letter of the word.,Angalia herufi ya kwanza. Inasema nini?,,Angalia herufi ya kwanza ya neno.,hint-word-first-letter-001,,child,hint,none,Tanzania,Tanzanian primary education; Kiswahili Sanifu,word_reading,,10,"hint

word

child

10

Tanzania

Tanzanian primary education; Kiswahili Sanifu

word_reading

none",word
Reassure a child who seems frustrated after a few misses in a row.,"Usijali, baadhi ya maneno ni magumu. Keep trying, unaweza!",,"Usijali, hakuna shida. Usikate tamaa, keep trying, unaweza kufanikiwa.",encourage-frustrated-001,,child,encouragement,familiar_cue,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,,12,"encouragement

any

child

12

Tanzania

Tanzanian primary education; Kiswahili Sanifu

cross_level_session_support

familiar_cue",any
Reassure the child they're staying at beginner level to build confidence.,Tutaendelea kufanya mazoezi ya sauti za herufi. You’re doing well!,,Tutabaki katika kiwango cha kuanzia ili uwe na ujasiri zaidi. You're doing well!,level-stay-beginner-001,,child,level_transition,familiar_cue,Tanzania,Tanzanian primary education; Kiswahili Sanifu,letter_sound_recognition,,14,"level_transition

beginner

child

14

Tanzania

Tanzanian primary education; Kiswahili Sanifu

letter_sound_recognition

familiar_cue",beginner
Close out a normal session and tell the child what happens next.,"Hongera sana! Umefanya vizuri leo. Tutaendelea kesho, sawa?",,"Umefanya vizuri sana, tumemaliza leo. Tutakutana tena kesho.",closing-session-complete-001,,child,closing,none,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,,14,"closing

any

child

14

Tanzania

Tanzanian primary education; Kiswahili Sanifu

cross_level_session_support

none",any
Warmly end a session that's stopping earlier than planned.,Umejitahidi leo! Tutaishia hapa na kuendelea wakati mwingine. Bye!,,"Leo tunaishia mapema, umefanya vizuri sana. Good job, tutaendelea wakati mwingine.",closing-session-ended-early-001,,child,closing,familiar_cue,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,,14,"closing

any

child

14

Tanzania

Tanzanian primary education; Kiswahili Sanifu

cross_level_session_support

familiar_cue",any
Gently correct a misunderstanding without discouraging the child.,"Hmm, hebu tusikie tena — jibu liko karibu sana!",,"Umejitahidi, lakini sio hivyo kabisa. Usijali, hebu tusome tena sehemu hii ya hadithi kwa makini.",correction-comprehension-001,,child,correction,none,Tanzania,Tanzanian primary education; Kiswahili Sanifu,story_reading_and_comprehension,,12,"correction

story

child

12

Tanzania

Tanzanian primary education; Kiswahili Sanifu

story_reading_and_comprehension

none",story
Gently correct a misread sentence within a paragraph.,"Karibu! Hebu jaribu tena, soma sentensi polepole zaidi.",,Soma sentensi hiyo tena polepole.,correction-sentence-soft-001,,child,correction,none,Tanzania,Tanzanian primary education; Kiswahili Sanifu,paragraph_reading_and_fluency,,12,"correction

paragraph

child

12

Tanzania

Tanzanian primary education; Kiswahili Sanifu

paragraph_reading_and_fluency

none",paragraph
Suggest thinking about what would make sense in the story so far.,Fikiria story yetu. Neno gani linafaa hapa?,,"Hebu fikiria kinachoweza kuwa na maana katika hadithi hii hadi sasa, okay?",hint-story-context-001,,child,hint,familiar_cue,Tanzania,Tanzanian primary education; Kiswahili Sanifu,story_reading_and_comprehension,,14,"hint

story

child

14

Tanzania

Tanzanian primary education; Kiswahili Sanifu

story_reading_and_comprehension

familiar_cue",story
Ask the child to read the word shown aloud.,"Sawa, hebu usome neno hili kwa sauti!",,Soma neno hili.,instr-start-word-001,,child,instruction,familiar_cue,Tanzania,Tanzanian primary education; Kiswahili Sanifu,word_reading,,10,"instruction

word

child

10

Tanzania

Tanzanian primary education; Kiswahili Sanifu

word_reading

familiar_cue",word
"Gently correct a misread letter sound without saying ""wrong"".",Ulikaribia! Sikiliza sauti ya herufi hii: mmm. Try again.,,"Ulikaribia, sikiliza sauti ya herufi: mmm. Try again.",correction-letter-soft-001,,child,correction,familiar_cue,Tanzania,Tanzanian primary education; Kiswahili Sanifu,letter_sound_recognition,mmm,10,"correction

beginner

child

10

Tanzania

Tanzanian primary education; Kiswahili Sanifu

letter_sound_recognition

familiar_cue

mmm",beginner
Ask the child to read the story aloud from the beginning.,Sawa! Sasa read hadithi hii kwa sauti kuanzia mwanzo.,,Soma story hiyo kwa sauti kuanzia mwanzo.,instr-start-story-001,story,child,instruction,technical_term,Tanzania,Tanzanian primary education; Kiswahili Sanifu,story_reading_and_comprehension,,12,"instruction

story

child

12

Tanzania

Tanzanian primary education; Kiswahili Sanifu

story_reading_and_comprehension

technical_term

story",story
Ask the child to try reading the same item one more time.,Hebu jaribu kuisoma tena. One more time!,,"Hebu jaribu kusoma hii tena, one more time.",instr-retry-001,,child,instruction,familiar_cue,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,,10,"instruction

any

child

10

Tanzania

Tanzanian primary education; Kiswahili Sanifu

cross_level_session_support

familiar_cue",any
Praise fluent reading of a full paragraph.,Umesoma kifungu vizuri sana. Great job!,,Very good! Umesoma kifungu hiki kwa ufasaha.,praise-first-try-paragraph-001,,child,praise,familiar_cue,Tanzania,Tanzanian primary education; Kiswahili Sanifu,paragraph_reading_and_fluency,,10,"praise

paragraph

child

10

Tanzania

Tanzanian primary education; Kiswahili Sanifu

paragraph_reading_and_fluency

familiar_cue",paragraph
Reassure a shy or nervous-sounding child before they begin.,Usiwe na wasiwasi; tuko pamoja. Ready? Tuanze!,,"Usiogope, unaweza kufanya vizuri sana. Okay, jaribu tu.",encourage-nervous-001,,child,encouragement,familiar_cue,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,,12,"encouragement

any

child

12

Tanzania

Tanzanian primary education; Kiswahili Sanifu

cross_level_session_support

familiar_cue",any
Gently correct a misread syllable.,"Karibu! Hebu tusikie tena — sema ""si"", si ""su"".",,"Umekosea kidogo. Hii ni 'si', sio 'su'. Jaribu kusoma tena.",correction-syllable-soft-001,,child,correction,none,Tanzania,Tanzanian primary education; Kiswahili Sanifu,syllable_recognition_and_blending,si; su,10,"correction

letter_syllable

child

10

Tanzania

Tanzanian primary education; Kiswahili Sanifu

syllable_recognition_and_blending

none

si; su",letter_syllable
