"NOTE: text_to_read here is the QUESTION to read aloud to the speaker. The speaker does not read anything -- they listen to the question and answer freely. Record their answer, not the question.",,,,,,
file_name,set,item_id_or_act_id,text_to_read,done,usable,notes
sw-en_setB_SPEAKER_setB-01.wav,setB,setB-01,Niambie kuhusu shule yako.,,,
sw-en_setB_SPEAKER_setB-02.wav,setB,setB-02,Ulifanya nini jana baada ya shule?,,,
sw-en_setB_SPEAKER_setB-03.wav,setB,setB-03,Unafikaje sokoni ukitoka nyumbani kwenu?,,,
sw-en_setB_SPEAKER_setB-04.wav,setB,setB-04,"Somo gani unalipenda zaidi, na kwa nini?",,,
sw-en_setB_SPEAKER_setB-05.wav,setB,setB-05,Niambie wakati ulipomsaidia mtu.,,,
sw-en_setB_SPEAKER_setB-06.wav,setB,setB-06,Hesabu kwa sauti kuanzia moja hadi ishirini.,,,
sw-en_setB_SPEAKER_setB-07.wav,setB,setB-07,Kumi na tano jumlisha saba ni ngapi? Niambie jinsi ulivyopata jibu lako.,,,
sw-en_setB_SPEAKER_setB-08.wav,setB,setB-08,Niambie jambo lililotokea shuleni wiki hii.,,,
sw-en_setB_SPEAKER_setB-09.wav,setB,setB-09,Unataka kuwa nini ukikua?,,,
sw-en_setB_SPEAKER_setB-10.wav,setB,setB-10,"Nieleze mchezo unaocheza na marafiki zako, na kanuni zake.",,,
