act_id,prompt,completion,category,tarl_level,audience,max_words,country,curriculum_register,literacy_skill,code_switch_policy,allowed_english_term,literal_target
instr-start-beginner-001,Ask the child to look at the letter shown and say its sound.,"Tazama herufi hii. Sasa, say the sound unayoiona!",instruction,beginner,child,12,Tanzania,Tanzanian primary education; Kiswahili Sanifu,letter_sound_recognition,technical_term,sound,
instr-start-letter-syllable-001,Ask the child to read the syllable shown aloud.,Hebu sasa soma syllable hii kwa sauti.,instruction,letter_syllable,child,10,Tanzania,Tanzanian primary education; Kiswahili Sanifu,syllable_recognition_and_blending,technical_term,syllable,
instr-start-word-001,Ask the child to read the word shown aloud.,"Sawa, hebu usome neno hili kwa sauti!",instruction,word,child,10,Tanzania,Tanzanian primary education; Kiswahili Sanifu,word_reading,familiar_cue,,
instr-start-paragraph-001,"Ask the child to read the paragraph aloud, at their own pace.","Sawa, sasa soma kifungu hiki kwa sauti, pole pole.",instruction,paragraph,child,12,Tanzania,Tanzanian primary education; Kiswahili Sanifu,paragraph_reading_and_fluency,technical_term,paragraph,
instr-start-story-001,Ask the child to read the story aloud from the beginning.,Sawa! Sasa read hadithi hii kwa sauti kuanzia mwanzo.,instruction,story,child,12,Tanzania,Tanzanian primary education; Kiswahili Sanifu,story_reading_and_comprehension,technical_term,story,
instr-comprehension-001,Ask a simple comprehension question about the story just read.,"Great! Sasa niambie, hadithi hii ilikuwa inamhusu nani?",instruction,story,child,14,Tanzania,Tanzanian primary education; Kiswahili Sanifu,story_reading_and_comprehension,none,,
instr-retry-001,Ask the child to try reading the same item one more time.,Hebu jaribu kuisoma tena. One more time!,instruction,any,child,10,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,familiar_cue,,
instr-slow-down-001,Ask the child to slow down and read at a calmer pace.,"Soma polepole, take your time, usiache maneno.",instruction,any,child,10,Tanzania,Tanzanian primary education; Kiswahili Sanifu,cross_level_session_support,natural_only,,
praise-first-try-beginner-001,Praise correct letter-sound on the first try.,"Hongera! Good job, umeitamka vizuri!",praise,beginner,child,8,Tanzania,Tanzanian primary education; Kiswahili Sanifu,letter_sound_recognition,none,,
praise-first-try-syllable-001,Praise correct syllable read on the first try.,"Vizuri! First try, umeisoma sawasawa!",praise,letter_syllable,child,8,Tanzania,Tanzanian primary education; Kiswahili Sanifu,syllable_recognition_and_blending,familiar_cue,,
praise-first-try-word-001,Praise correct word read on the first try.,"Hongera! First try, umelisoma neno vizuri!",praise,word,child,8,Tanzania,Tanzanian primary education; Kiswahili Sanifu,word_reading,familiar_cue,,
