act_id,prompt,completion,category,tarl_level,audience,target_variety,max_words,text_status,source_file
instr-start-letter-syllable-001,Ask the child to read the syllable shown aloud.,Hebu sasa soma syllable hii kwa sauti.,instruction,letter_syllable,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,10,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
instr-comprehension-001,Ask a simple comprehension question about the story just read.,"Great! Sasa niambie, hadithi hii ilikuwa inamhusu nani?",instruction,story,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,14,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
instr-retry-001,Ask the child to try reading the same item one more time.,Hebu jaribu kuisoma tena. One more time!,instruction,any,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,10,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
instr-slow-down-001,Ask the child to slow down and read at a calmer pace.,"Soma polepole, take your time, usiache maneno.",instruction,any,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,10,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
instr-ready-check-001,Check that the child is ready before starting the next item.,Uko ready? Twende!,instruction,any,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,8,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
instr-practice-drill-001,Ask the child to try a short practice drill before the real item.,Kwanza tufanye practice moja. Uko tayari? Soma hili!,instruction,word,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,12,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
praise-first-try-beginner-001,Praise correct letter-sound on the first try.,"Hongera! Good job, umeitamka vizuri!",praise,beginner,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,8,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
praise-first-try-paragraph-001,Praise fluent reading of a full paragraph.,Umesoma kifungu vizuri sana. Great job!,praise,paragraph,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,10,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
praise-effort-general-001,Praise visible effort even when the answer wasn't fully correct.,Good try! Umejitahidi; tujaribu tena pamoja.,praise,any,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,10,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
praise-improvement-001,Note that the child is improving compared to earlier in the session.,Unazidi kufanya vizuri. Keep it up!,praise,any,child,Tanzanian Kiswahili Sanifu with natural classroom English code-switching,12,pilot_pending_tanzanian_native_speaker_review,data/adaption/sw-en_tz-pilot-20.csv
