act_id,category,tarl_level,audience,function_reminder,max_words,text_draft,matrix_language,switch_points,register_note,verdict,corrected_text
instr-start-beginner-001,instruction,beginner,child,Ask the child to look at the letter shown and say its sound.,12,"Tazama herufi hii. Sasa, say the sound unayoiona!",Swahili,"Tazama herufi hii. Sasa, [[say the sound]] unayoiona!","Keep the tone playful and inviting, like a gentle nudge from a friendly teacher, so the child feels safe to try without fear of being wrong.",,
instr-start-letter-syllable-001,instruction,letter_syllable,child,Ask the child to read the syllable shown aloud.,10,Sawa! Hebu sasa read silabi hii kwa sauti.,Swahili,Sawa! Hebu sasa [[read]] silabi hii kwa sauti.,"Keep it bright and inviting — a gentle nudge, not a command, so the child feels safe to try.",,
instr-start-word-001,instruction,word,child,Ask the child to read the word shown aloud.,10,"Sawa, hebu usome neno hili kwa sauti!",Swahili,"[[Sawa]], hebu usome neno hili kwa sauti!","Bright and encouraging — the short ""Sawa"" opener mimics how a warm classroom teacher signals a fresh start without pressure.",,
instr-start-paragraph-001,instruction,paragraph,child,"Ask the child to read the paragraph aloud, at their own pace.",12,"Sawa, sasa soma kifungu hiki kwa sauti, pole pole.",Swahili,"[[Sawa]], sasa soma kifungu hiki kwa sauti, pole pole.","Warm and unhurried, reassuring the child there is no rush — ""pole pole"" signals safety and calm.",,
instr-start-story-001,instruction,story,child,Ask the child to read the story aloud from the beginning.,12,Sawa! Sasa read hadithi hii kwa sauti kuanzia mwanzo.,Swahili,Sawa! Sasa [[read]] hadithi hii kwa sauti kuanzia mwanzo.,"Warm and encouraging, using a light exclamation to signal a fresh, exciting start — never commanding or exam-like.",,
instr-comprehension-001,instruction,story,child,Ask a simple comprehension question about the story just read.,14,"Vizuri sana! Sasa niambie, hadithi hii ilikuwa inahusu nani?",Swahili,"[[Vizuri sana]]! Sasa niambie, hadithi hii ilikuwa inahusu nani?","Warm and encouraging, opening with praise before gently pivoting to a single, open-ended question so the child feels safe to answer.",,
instr-retry-001,instruction,any,child,Ask the child to try reading the same item one more time.,10,"Sawa, hebu jaribu tena. Try once more!",Swahili,"Sawa, hebu jaribu tena. [[Try once more!]]","Keep the tone gently encouraging and upbeat — the child should feel invited, not pressured, to have another go.",,
instr-slow-down-001,instruction,any,child,Ask the child to slow down and read at a calmer pace.,10,"Pole pole, soma slowly — usikimbie maneno!",Swahili,"Pole pole, soma [[slowly]] — usikimbie maneno!","Use a gentle, encouraging tone — not scolding — so the child feels guided rather than corrected.",,
instr-mic-check-001,instruction,any,child,Ask the child to hold the phone closer and speak clearly.,12,"Karibu simu karibu zaidi na mdomo wako, kisha sema wazi!",Swahili,"Karibu simu karibu zaidi na mdomo wako, kisha [[speak]] wazi!","Use a gentle, encouraging tone — like a kind teacher leaning in to help, not scolding the child for the audio problem.",,
instr-ready-check-001,instruction,any,child,Check that the child is ready before starting the next item.,8,"Uko tayari? Sawa, hebu tuanze!",Swahili,"Uko tayari? [[Sawa]], hebu tuanze!","Keep it bright and inviting — a quick, friendly nudge that feels like the start of a little adventure, not a test.",,
instr-free-response-001,instruction,any,child,Ask the child what they think happens next in the story.,12,"Sawa, unafikiri nini kitatokea baadaye? Niambie!",Swahili,"[[Sawa]], unafikiri nini kitatokea baadaye? Niambie!","Keep the tone curious and inviting, like a friend asking a question, not a test — use ""Niambie!"" to make it feel like their answer genuinely matters.",,
instr-repeat-please-response-001,instruction,any,child,Repeat the instruction more slowly because the child asked.,12,Sawa! Sikiliza vizuri... soma neno hili pole pole.,Swahili,[[Sawa!]] Sikiliza vizuri... soma neno hili pole pole.,"Warm and unhurried, reassuring the child that slowing down is perfectly fine and they are safe to try again.",,
instr-facilitator-wait-001,instruction,any,child,Tell the child to wait a moment while a facilitator is called.,10,"Subiri kidogo, nitamwita mwalimu wako sasa hivi!",Swahili,"[[Subiri]] kidogo, nitamwita mwalimu wako sasa hivi!",Keep the tone bright and reassuring so the child does not feel abandoned during the handoff.,,
instr-practice-drill-001,instruction,word,child,Ask the child to try a short practice drill before the real item.,12,"Sawa, kwanza hebu tujaribu mfano. Ready? Soma hii!",Swahili,"Sawa, kwanza hebu tujaribu mfano. [[Ready?]] Soma hii!","Keep the tone playful and encouraging, like a friendly nudge, so the child feels excited rather than pressured before the drill.",,
praise-first-try-beginner-001,praise,beginner,child,Praise correct letter-sound on the first try.,8,"Vizuri sana! Good job, ulijua haraka!",Swahili,"[[Vizuri sana]]! [[Good job]], ulijua haraka!",Keep it bright and celebratory — short bursts of praise feel like a high-five for a beginner child.,,
praise-first-try-syllable-001,praise,letter_syllable,child,Praise correct syllable read on the first try.,8,"Vizuri sana! Good job, ulisoma vizuri!",Swahili,"[[Vizuri sana! Good job,]] ulisoma vizuri!","Bright and immediate praise — short, energetic, and celebratory to reward the child's quick success without overwhelming them.",,
praise-first-try-word-001,praise,word,child,Praise correct word read on the first try.,8,Vizuri sana! First try! Umesoma neno vizuri.,Swahili,[[Vizuri sana]]! [[First try]]! Umesoma neno vizuri.,"Warm and celebratory — short burst of excitement to affirm instant success, keeping words simple for a word-level reader.",,
praise-first-try-paragraph-001,praise,paragraph,child,Praise fluent reading of a full paragraph.,10,"Vizuri sana! Umesoma vizuri, good job, endelea hivyo!",Swahili,"[[Vizuri sana!]] Umesoma vizuri, [[good job]], endelea hivyo!","Warm and celebratory, short burst of genuine excitement to affirm a big achievement for a young reader.",,
praise-first-try-story-001,praise,story,child,Praise finishing a story with strong fluency.,10,"Vizuri sana! Umesoma hadithi nzima, well done!",Swahili,"[[Vizuri sana!]] Umesoma hadithi nzima, [[well done!]]","Warm and celebratory, mirroring the excitement a teacher shows when a child achieves something big — short and punchy so the praise lands immediately.",,
praise-after-retry-word-001,praise,word,child,Praise the child for succeeding after a retry.,10,"Vizuri sana! Umefaulu! Good job, ulijaribu tena!",Swahili,"Vizuri sana! Umefaulu! [[Good job]], ulijaribu tena!","Warm and celebratory, short bursts of praise to match a young child's attention span and boost their confidence after persisting through a retry.",,
praise-after-retry-syllable-001,praise,letter_syllable,child,Praise the child for succeeding after a retry at syllable level.,10,"Vizuri sana! Ulijaribu tena, na umefanikiwa. Well done!",Swahili,"[[Vizuri sana]]! Ulijaribu tena, na umefanikiwa. [[Well done]]!",Warm and celebratory — short bursts of praise with genuine excitement to reward the child's persistence without over-explaining.,,
praise-comprehension-001,praise,story,child,Praise a thoughtful answer to a comprehension question.,10,"Vizuri sana! Jibu lako ni zuri, umefikiria vizuri!",Swahili,"[[Vizuri sana!]] Jibu lako ni zuri, umefikiria vizuri!","Warm and enthusiastic, celebrating the child's thinking without sounding formal or test-like.",,
